Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1961,Y1961F,Y1961N,Y1962,Y1962F,Y1962N,Y1963,Y1963F,Y1963N,Y1964,Y1964F,Y1964N,Y1965,Y1965F,Y1965N,Y1966,Y1966F,Y1966N,Y1967,Y1967F,Y1967N,Y1968,Y1968F,Y1968N,Y1969,Y1969F,Y1969N,Y1970,Y1970F,Y1970N,Y1971,Y1971F,Y1971N,Y1972,Y1972F,Y1972N,Y1973,Y1973F,Y1973N,Y1974,Y1974F,Y1974N,Y1975,Y1975F,Y1975N,Y1976,Y1976F,Y1976N,Y1977,Y1977F,Y1977N,Y1978,Y1978F,Y1978N,Y1979,Y1979F,Y1979N,Y1980,Y1980F,Y1980N,Y1981,Y1981F,Y1981N,Y1982,Y1982F,Y1982N,Y1983,Y1983F,Y1983N,Y1984,Y1984F,Y1984N,Y1985,Y1985F,Y1985N,Y1986,Y1986F,Y1986N,Y1987,Y1987F,Y1987N,Y1988,Y1988F,Y1988N,Y1989,Y1989F,Y1989N,Y1990,Y1990F,Y1990N,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N,Y2030,Y2030F,Y2030N,Y2050,Y2050F,Y2050N
"2","'004","Afghanistan","5064","Crop Residues","7234","Direct emissions (N2O)","3050","FAO TIER 1","kilotonnes","0.876200","E",,"0.882900","E",,"0.823600","E",,"0.888200","E",,"0.897800","E",,"0.846600","E",,"0.878300","E",,"0.888600","E",,"0.912300","E",,"0.830400","E",,"0.809300","E",,"0.953100","E",,"0.972500","E",,"0.988000","E",,"1.013800","E",,"1.040100","E",,"0.956600","E",,"0.997200","E",,"0.953300","E",,"0.915600","E",,"0.876600","E",,"0.840700","E",,"0.806500","E",,"0.771300","E",,"0.731900","E",,"0.698100","E",,"0.770600","E",,"0.691700","E",,"0.660100","E",,"0.633400","E",,"0.645400","E",,"0.605400","E",,"0.711000","E",,"0.745600","E",,"0.751100","E",,"0.767200","E",,"0.851100","E",,"0.885400","E",,"0.762400","E",,"0.520000","E",,"0.526700","E",,"0.820000","E",,"0.998800","E",,"0.822500","E",,"1.182100","E",,"1.027700","E",,"1.242600","E",,"0.886900","E",,"1.392000","E",,"1.274200","E",,"1.032100","E",,"1.372600","E",,"1.401800","E",,"1.458400","E",,"1.242400","E",,"1.194000","E",,"1.061700","E",,"0.898800","E",,"1.217600","E",,"1.317000","E",,,,,"1.533700","E",,"1.938900","E",
"2","'004","Afghanistan","5064","Crop Residues","7236","Indirect emissions (N2O)","3050","FAO TIER 1","kilotonnes","0.197200","E",,"0.198700","E",,"0.185300","E",,"0.199800","E",,"0.202000","E",,"0.190500","E",,"0.197600","E",,"0.199900","E",,"0.205300","E",,"0.186800","E",,"0.182100","E",,"0.214500","E",,"0.218800","E",,"0.222300","E",,"0.228100","E",,"0.234000","E",,"0.215200","E",,"0.224400","E",,"0.214500","E",,"0.206000","E",,"0.197200","E",,"0.189200","E",,"0.181500","E",,"0.173500","E",,"0.164700","E",,"0.157100","E",,"0.173400","E",,"0.155600","E",,"0.148500","E",,"0.142500","E",,"0.145200","E",,"0.136200","E",,"0.160000","E",,"0.167800","E",,"0.169000","E",,"0.172600","E",,"0.191500","E",,"0.199200","E",,"0.171500","E",,"0.117000","E",,"0.118500","E",,"0.184500","E",,"0.224700","E",,"0.185100","E",,"0.266000","E",,"0.231200","E",,"0.279600","E",,"0.199600","E",,"0.313200","E",,"0.286700","E",,"0.232200","E",,"0.308800","E",,"0.315400","E",,"0.328100","E",,"0.279500","E",,"0.268700","E",,"0.238900","E",,"0.202200","E",,"0.274000","E",,"0.296300","E",,,,,"0.345100","E",,"0.436200","E",
"2","'004","Afghanistan","5064","Crop Residues","7230","Emissions (N2O)","3050","FAO TIER 1","kilotonnes","1.073400","E",,"1.081600","E",,"1.008900","E",,"1.088000","E",,"1.099800","E",,"1.037100","E",,"1.075900","E",,"1.088500","E",,"1.117600","E",,"1.017200","E",,"0.991400","E",,"1.167600","E",,"1.191300","E",,"1.210300","E",,"1.241900","E",,"1.274100","E",,"1.171800","E",,"1.221500","E",,"1.167800","E",,"1.121600","E",,"1.073800","E",,"1.029900","E",,"0.988000","E",,"0.944800","E",,"0.896500","E",,"0.855100","E",,"0.943900","E",,"0.847300","E",,"0.808600","E",,"0.775900","E",,"0.790600","E",,"0.741600","E",,"0.871000","E",,"0.913400","E",,"0.920100","E",,"0.939800","E",,"1.042600","E",,"1.084700","E",,"0.934000","E",,"0.637000","E",,"0.645200","E",,"1.004500","E",,"1.223500","E",,"1.007500","E",,"1.448100","E",,"1.258900","E",,"1.522200","E",,"1.086500","E",,"1.705100","E",,"1.560900","E",,"1.264300","E",,"1.681500","E",,"1.717300","E",,"1.786500","E",,"1.522000","E",,"1.462700","E",,"1.300500","E",,"1.101100","E",,"1.491600","E",,"1.613300","E",,,,,"1.878800","E",,"2.375100","E",
"2","'004","Afghanistan","5064","Crop Residues","724313","Emissions (CO2eq) from N2O (AR5)","3050","FAO TIER 1","kilotonnes","284.448600","E",,"286.619200","E",,"267.346600","E",,"288.321200","E",,"291.440600","E",,"274.830400","E",,"285.102600","E",,"288.448300","E",,"296.155600","E",,"269.552900","E",,"262.733800","E",,"309.411600","E",,"315.694800","E",,"320.727400","E",,"329.104600","E",,"337.648700","E",,"310.534100","E",,"323.709000","E",,"309.471400","E",,"297.225700","E",,"284.550200","E",,"272.927800","E",,"261.814700","E",,"250.372600","E",,"237.580800","E",,"226.604700","E",,"250.140600","E",,"224.539000","E",,"214.278800","E",,"205.607700","E",,"209.497100","E",,"196.534100","E",,"230.817500","E",,"242.049400","E",,"243.815200","E",,"249.036400","E",,"276.294000","E",,"287.434600","E",,"247.498000","E",,"168.807000","E",,"170.988400","E",,"266.197500","E",,"324.219500","E",,"266.999500","E",,"383.749800","E",,"333.609300","E",,"403.374900","E",,"287.909900","E",,"451.864700","E",,"413.646700","E",,"335.037900","E",,"445.595800","E",,"455.072700","E",,"473.417400","E",,"403.318100","E",,"387.613000","E",,"344.644700","E",,"291.783800","E",,"395.268900","E",,"427.528400","E",,,,,"497.892900","E",,"629.404700","E",
"2","'004","Afghanistan","5064","Crop Residues","723113","Emissions (CO2eq) (AR5)","3050","FAO TIER 1","kilotonnes","284.448600","E",,"286.619200","E",,"267.346600","E",,"288.321200","E",,"291.440600","E",,"274.830400","E",,"285.102600","E",,"288.448300","E",,"296.155600","E",,"269.552900","E",,"262.733800","E",,"309.411600","E",,"315.694800","E",,"320.727400","E",,"329.104600","E",,"337.648700","E",,"310.534100","E",,"323.709000","E",,"309.471400","E",,"297.225700","E",,"284.550200","E",,"272.927800","E",,"261.814700","E",,"250.372600","E",,"237.580800","E",,"226.604700","E",,"250.140600","E",,"224.539000","E",,"214.278800","E",,"205.607700","E",,"209.497100","E",,"196.534100","E",,"230.817500","E",,"242.049400","E",,"243.815200","E",,"249.036400","E",,"276.294000","E",,"287.434600","E",,"247.498000","E",,"168.807000","E",,"170.988400","E",,"266.197500","E",,"324.219500","E",,"266.999500","E",,"383.749800","E",,"333.609300","E",,"403.374900","E",,"287.909900","E",,"451.864700","E",,"413.646700","E",,"335.037900","E",,"445.595800","E",,"455.072700","E",,"473.417400","E",,"403.318100","E",,"387.613000","E",,"344.644700","E",,"291.783800","E",,"395.268900","E",,"427.528400","E",,,,,"497.892900","E",,"629.404700","E",
"2","'004","Afghanistan","5060","Rice Cultivation","7225","Emissions (CH4)","3050","FAO TIER 1","kilotonnes","29.400000","E",,"29.400000","E",,"29.400000","E",,"30.800000","E",,"30.800000","E",,"31.080000","E",,"28.840000","E",,"28.840000","E",,"28.840000","E",,"28.280000","E",,"28.000000","E",,"29.400000","E",,"29.400000","E",,"29.400000","E",,"29.400000","E",,"29.400000","E",,"29.400000","E",,"29.400000","E",,"28.840000","E",,"26.740000","E",,"24.360000","E",,"23.170000","E",,"21.700000","E",,"20.860000","E",,"19.740000","E",,"21.000000","E",,"22.680000","E",,"25.200000","E",,"23.800000","E",,"24.500000","E",,"24.220000","E",,"24.500000","E",,"24.500000","E",,"25.200000","E",,"23.800000","E",,"24.500000","E",,"25.200000","E",,"25.200000","E",,"19.600000","E",,"18.200000","E",,"16.940000","E",,"18.900000","E",,"20.300000","E",,"27.300000","E",,"22.400000","E",,"22.400000","E",,"23.800000","E",,"26.600000","E",,"28.000000","E",,"29.120000","E",,"29.400000","E",,"28.700000","E",,"28.700000","E",,"30.800000","E",,"22.960000","E",,"16.660000","E",,"15.323300","E",,"16.455500","E",,"17.854200","E",,"20.657700","E",,,,,"32.368500","E",,"41.333100","E",
"2","'004","Afghanistan","5060","Rice Cultivation","724413","Emissions (CO2eq) from CH4 (AR5)","3050","FAO TIER 1","kilotonnes","823.200000","E",,"823.200000","E",,"823.200000","E",,"862.400000","E",,"862.400000","E",,"870.240000","E",,"807.520000","E",,"807.520000","E",,"807.520000","E",,"791.840000","E",,"784.000000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"807.520000","E",,"748.720000","E",,"682.080000","E",,"648.760000","E",,"607.600000","E",,"584.080000","E",,"552.720000","E",,"588.000000","E",,"635.040000","E",,"705.600000","E",,"666.400000","E",,"686.000000","E",,"678.160000","E",,"686.000000","E",,"686.000000","E",,"705.600000","E",,"666.400000","E",,"686.000000","E",,"705.600000","E",,"705.600000","E",,"548.800000","E",,"509.600000","E",,"474.320000","E",,"529.200000","E",,"568.400000","E",,"764.400000","E",,"627.200000","E",,"627.200000","E",,"666.400000","E",,"744.800000","E",,"784.000000","E",,"815.360000","E",,"823.200000","E",,"803.600000","E",,"803.600000","E",,"862.400000","E",,"642.880000","E",,"466.480000","E",,"429.051800","E",,"460.752900","E",,"499.917600","E",,"578.415600","E",,,,,"906.317600","E",,"1157.327500","E",
"2","'004","Afghanistan","5060","Rice Cultivation","723113","Emissions (CO2eq) (AR5)","3050","FAO TIER 1","kilotonnes","823.200000","E",,"823.200000","E",,"823.200000","E",,"862.400000","E",,"862.400000","E",,"870.240000","E",,"807.520000","E",,"807.520000","E",,"807.520000","E",,"791.840000","E",,"784.000000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"823.200000","E",,"807.520000","E",,"748.720000","E",,"682.080000","E",,"648.760000","E",,"607.600000","E",,"584.080000","E",,"552.720000","E",,"588.000000","E",,"635.040000","E",,"705.600000","E",,"666.400000","E",,"686.000000","E",,"678.160000","E",,"686.000000","E",,"686.000000","E",,"705.600000","E",,"666.400000","E",,"686.000000","E",,"705.600000","E",,"705.600000","E",,"548.800000","E",,"509.600000","E",,"474.320000","E",,"529.200000","E",,"568.400000","E",,"764.400000","E",,"627.200000","E",,"627.200000","E",,"666.400000","E",,"744.800000","E",,"784.000000","E",,"815.360000","E",,"823.200000","E",,"803.600000","E",,"803.600000","E",,"862.400000","E",,"642.880000","E",,"466.480000","E",,"429.051800","E",,"460.752900","E",,"499.917600","E",,"578.415600","E",,,,,"906.317600","E",,"1157.327500","E",
"2","'004","Afghanistan","5066","Burning - Crop residues","7225","Emissions (CH4)","3050","FAO TIER 1","kilotonnes","4.073400","E",,"4.193300","E",,"4.193300","E",,"4.226000","E",,"4.215000","E",,"4.216900","E",,"3.967900","E",,"3.731400","E",,"3.779800","E",,"3.874800","E",,"4.189400","E",,"4.686200","E",,"4.071900","E",,"4.064400","E",,"4.163700","E",,"4.157400","E",,"4.147500","E",,"4.156100","E",,"3.921800","E",,"3.699700","E",,"3.558900","E",,"3.425700","E",,"3.252200","E",,"3.138400","E",,"2.980800","E",,"2.883700","E",,"2.994400","E",,"2.805200","E",,"2.725500","E",,"2.697700","E",,"2.760600","E",,"2.531400","E",,"3.071400","E",,"3.240800","E",,"3.201600","E",,"3.071400","E",,"3.104700","E",,"3.171700","E",,"2.832600","E",,"2.647100","E",,"2.320500","E",,"2.355300","E",,"3.401700","E",,"3.008900","E",,"3.475200","E",,"3.253500","E",,"3.292100","E",,"2.967400","E",,"3.461400","E",,"3.350700","E",,"3.221900","E",,"3.403500","E",,"3.450600","E",,"3.541300","E",,"2.945200","E",,"3.073400","E",,"2.799700","E",,"2.139000","E",,"2.969300","E",,"3.482600","E",,,,,"3.493500","E",,"3.485700","E",
"2","'004","Afghanistan","5066","Burning - Crop residues","7225","Emissions (CH4)","3051","UNFCCC","kilotonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.070000","A",,,,,,,,,,,,,,,,,,,,,,,"5.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
