,Area,CH4pc
0,Afghanistan,0.01732985098939171
1,Albania,0.03786249836201644
2,Algeria,0.07820212637644276
3,American Samoa,0.0
4,Andorra,0.016349166144534945
5,Angola,0.06766792226513071
6,Anguilla,0.010131084908767539
7,Antigua and Barbuda,0.026315674590181824
8,Argentina,0.11010398032170149
9,Armenia,0.022291778377800976
10,Aruba,0.01028010041335573
11,Australia,0.21550450113954672
12,Austria,0.043796361138771014
13,Azerbaijan,0.06284558654489987
14,The Bahamas,0.030481754440092955
15,Bahrain,0.6325323732300617
16,Bangladesh,0.023963615298207782
17,Barbados,0.026175238122479336
18,Belarus,0.06134689911087265
19,Belgium,0.0593752508495584
20,Belize,0.04451011081854968
21,Benin,0.021957035456012023
22,Bermuda,0.0
23,Bhutan,0.047653051584052405
24,Bolivia,0.09922384994104802
25,Bosnia and Herzegovina,0.060113219233740835
26,Botswana,0.06369365536309933
27,Brazil,0.09754555043648422
28,British Virgin Islands,0.008435800230756553
29,Brunei,0.45585252628524847
30,Bulgaria,0.047145746829157884
31,Burkina Faso,0.037933766863797444
32,Burundi,0.013625056031806576
33,Cape Verde,0.012025167979103715
34,Cambodia,0.05706082493127404
35,Cameroon,0.0350997479856538
36,Canada,0.11273266817611133
37,Cayman Islands,0.0
38,Central African Republic,0.08603939718692466
39,Chad,0.1300455005412001
40,Chile,0.04646981383796443
41,China,0.039771320097000885
42,Hong Kong S.A.R.,0.02588551444185066
43,Macao S.A.R,0.00608625925704042
44,Taiwan,0.0261466392511059
45,Colombia,0.06484036424242964
46,Comoros,0.026492020615396107
47,Republic of Congo,0.10866319847118082
48,Cook Islands,0.03426650437605054
49,Costa Rica,0.03902253124247381
50,Ivory Coast,0.021069504700480756
51,Croatia,0.03951123486805024
52,Cuba,0.046998819940672176
53,Cyprus,0.02566130989448086
54,Czech Republic,0.04120934714801037
55,North Korea,0.028354164725386377
56,Democratic Republic of the Congo,0.020684462170196812
57,Denmark,0.05959806030708105
58,Djibouti,0.03935714974867527
59,Dominica,0.03172274543580476
60,Dominican Republic,0.04114146343547754
61,Ecuador,0.04871157013369792
62,Egypt,0.02291995340500911
63,El Salvador,0.02005878583416901
64,Equatorial Guinea,0.23740545679323025
65,Eritrea,0.05096601994442403
66,Estonia,0.08846989898256474
67,Swaziland,0.03373824140748068
68,Ethiopia,0.035752459217871686
69,Falkland Islands,0.0
70,Faroe Islands,0.014683544303797468
71,Fiji,0.030268575706531912
72,Finland,0.14399396532764894
73,France,0.04210165816482105
74,French Polynesia,0.0036262709757195755
75,Gabon,0.18962692722485094
76,Gambia,0.021270751224172935
77,Georgia,0.03170262371349235
78,Germany,0.029808265217228923
79,Ghana,0.021335067192158403
80,Gibraltar,0.0
81,Greece,0.04271888678469682
82,Greenland,0.0
83,Grenada,0.016148492260214385
84,Guam,0.0
85,Guatemala,0.03760766653119825
86,Guinea,0.05638002928586085
87,Guinea Bissau,0.039187149829476534
88,Guyana,0.09028801523588377
89,Haiti,0.033215366539292315
90,Honduras,0.03509271560373129
91,Hungary,0.029842738983167354
92,Iceland,0.06303485519031239
93,India,0.02275306083154192
94,Indonesia,0.050336029171543395
95,Iran,0.09911568142993839
96,Iraq,0.14287391939532948
